Treatment ,genotype,time,ratio_rep1,ratio_rep2,ratio_rep3,ratio_rep4
OGA,WT,-30,2.247675187,2.712631579,2.493676489,2.257246377
OGA,WT,-25,2.481505945,2.772985941,2.598453608,2.340296332
OGA,WT,-20,2.395643899,2.637696787,2.491971344,2.224002513
OGA,WT,-15,2.195610397,2.746308496,2.422706379,2.182671756
OGA,WT,-10,2.172612541,2.571420929,2.490059385,2.176604116
OGA,WT,-5,2.18811726,2.665326749,2.526755644,2.207324548
OGA,WT,0,2.256242162,1.908714342,2.511231603,2.347507433
OGA,WT,5,2.377201887,2.077176015,2.305648259,2.293259208
OGA,WT,10,2.261532784,2.090618762,2.249150837,2.242674772
OGA,WT,15,2.111131521,2.129072435,2.271583912,2.129604284
OGA,WT,20,2.028790403,2.243894433,2.198521784,2.059340659
OGA,WT,25,1.950368708,2.163155972,2.055131692,2.133011594
OGA,WT,30,1.856625196,2.293318978,2.145843041,2.113881674
OGA,WT,35,1.90816004,2.448883091,2.11245058,2.180869471
OGA,WT,40,1.832204998,3.012445095,2.320298415,2.563772083
OGA,WT,45,2.10706376,3.323437628,2.554260292,2.885268099
OGA,WT,50,2.305006934,3.423485346,2.710039832,3.149044753
OGA,WT,55,2.678613576,3.52424476,3.007980807,3.301277396
OGA,WT,60,2.879130435,3.60865468,3.193760474,3.383784011
OGA,WT,65,2.94122404,3.523727383,3.369447817,3.389236757
OGA,WT,70,3.115166929,3.556258045,3.435902637,3.25535347
OGA,WT,75,3.31523782,3.475030779,3.418959231,3.436498975
OGA,WT,80,3.076107214,3.536121673,3.342501482,3.412463806
OGA,WT,85,3.227235662,3.482498737,3.506620468,3.337640878
OGA,WT,90,3.118594832,3.463385447,3.434800016,3.23497405
OGA,WT,95,3.095947834,3.336413127,3.548820281,3.371135371
OGA,WT,100,3.248255344,3.470238095,3.479173595,3.204873765
OGA,WT,105,3.159957135,3.297913847,3.370542573,3.141650825
OGA,WT,110,3.181746402,3.394195839,3.36299242,3.135267469
OGA,WT,115,3.039137123,3.272376607,3.235930463,3.166223962
OGA,WT,120,2.847037381,3.347161944,3.268794697,3.102882773
OGA,WT,125,2.974861152,3.162567256,3.249625765,2.993076671
OGA,WT,130,2.967849967,3.232349842,3.319406371,2.934862781
OGA,WT,135,2.924168072,3.233757874,3.010377358,2.842827205
OGA,WT,140,2.97980166,3.173517694,2.993903015,2.869062838
OGA,WT,145,2.875842981,2.987184215,2.922573044,2.734516727
OGA,WT,150,2.856036152,3.026069801,3.050475305,2.829036842
OGA,WT,155,2.730658318,2.821626575,2.930390403,2.70450676
OGA,WT,160,3.01056322,2.806810087,2.761515828,2.578996669
OGA,WT,165,2.709747165,2.896546501,2.754023937,2.669010603
OGA,WT,170,2.825326897,2.82903793,2.659669925,2.567362328
OGA,WT,175,2.60630946,2.7347692,2.553683122,2.612901424
OGA,mlo2,-30,2.267645667,2.234567889,2.345678912,2.256789123
OGA,mlo2,-25,2.50139295,2.467315172,2.578926195,2.490536406
OGA,mlo2,-20,2.429495849,2.398639071,2.509429094,2.419139305
OGA,mlo2,-15,2.459274929,2.425397151,2.532508174,2.446818385
OGA,mlo2,-10,2.338475999,2.306898221,2.413509244,2.331419455
OGA,mlo2,-5,2.392945792,2.358667014,2.462479037,2.385689248
OGA,mlo2,0,2.23827403,2.209195252,2.318407275,2.226717486
OGA,mlo2,5,2.15203949,2.118460712,2.229472735,2.143982946
OGA,mlo2,10,2.158205382,2.127226604,2.240538627,2.154848838
OGA,mlo2,15,2.160294827,2.130516049,2.236828072,2.148438283
OGA,mlo2,20,2.163824857,2.132346079,2.243858102,2.155468313
OGA,mlo2,25,2.1492837,2.115304922,2.226416945,2.137827156
OGA,mlo2,30,2.073748182,2.042169404,2.152781427,2.067691638
OGA,mlo2,35,2.064820173,2.031841395,2.145853418,2.051963629
OGA,mlo2,40,1.928374822,1.896996044,2.007608067,1.915818278
OGA,mlo2,45,2.063748291,2.034971513,2.142139585,2.059749746
OGA,mlo2,50,2.081734649,2.049457871,2.159825943,2.079735104
OGA,mlo2,55,2.091837472,2.062160694,2.170828766,2.092438927
OGA,mlo2,60,2.119374728,2.08399795,2.196966021,2.103038927
OGA,mlo2,65,2.219283827,2.188707049,2.29317512,2.207585282
OGA,mlo2,70,2.223948492,2.189471714,2.303339785,2.209349947
OGA,mlo2,75,2.278410394,2.248933616,2.355601687,2.261711849
OGA,mlo2,80,2.283747192,2.253470414,2.363138485,2.267048648
OGA,mlo2,85,2.308094881,2.273418094,2.386286165,2.283396328
OGA,mlo2,90,2.319482872,2.291206085,2.399274156,2.294784319
OGA,mlo2,95,2.340293892,2.307996105,2.415184176,2.306594339
OGA,mlo2,100,2.381749383,2.353071596,2.463139667,2.35314983
OGA,mlo2,105,2.403817183,2.365939396,2.475607467,2.36601763
OGA,mlo2,110,2.439283718,2.409655931,2.512373992,2.410284155
OGA,mlo2,115,2.448717362,2.418889575,2.527307636,2.4211178
OGA,mlo2,120,2.500388173,2.472130386,2.575978447,2.467788611
OGA,mlo2,125,2.533949198,2.507471411,2.612039472,2.504449636
OGA,mlo2,130,2.548272617,2.51019483,2.619862891,2.510773055
OGA,mlo2,135,2.492837181,2.458759394,2.566027455,2.462837619
OGA,mlo2,140,2.50281937,2.472341583,2.581009644,2.469619808
OGA,mlo2,145,2.482761739,2.448883952,2.558851013,2.458762177
OGA,mlo2,150,2.44839998,2.420322203,2.523589264,2.427600428
OGA,mlo2,155,2.4382719,2.409094123,2.508961184,2.419872348
OGA,mlo2,160,2.39281736,2.356539583,2.466606644,2.361017808
OGA,mlo2,165,2.368471826,2.333394048,2.44416111,2.334872273
OGA,mlo2,170,2.2983716,2.260793823,2.378860884,2.282672048
OGA,mlo2,175,2.248172635,2.211894858,2.326161919,2.228273083
